PostID,Time,TweetUrl,Content,UserName,Review,RetweetNum,LikeNum,LookNum,UserID,UserUrl,Location,,relevant?
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727227916314874048,"Israeli air raids have intensified during the last couple of hours across the Gaza Strip, with fears that air raids may intensify today before the agreement takes effect. LIVE updates: http://aje.io/r7rawx",AJEnglish,20,85,78,7.9K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727224249708871945,Israel and Hamas have agreed to a temporary truce deal that will see 50 captives held in Gaza released in exchange for Palestinians held in Israeli jails.Al Jazeera’s @sarakhairat goes through the main points of the deal,AJEnglish,34,158,251,22K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727223728717893713,Israel and Hamas agreed on a Qatar-mediated deal for a four-day truce in Gaza and the release of 50 captives held in the besieged enclave. LIVE updates: http://aje.io/r7rawx,AJEnglish,28,48,75,17K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727216666285584659,"Papua New Guinea cancels flights, plans evacuation after volcano erupts",AJEnglish,17,41,80,21K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727212942800630095,‘What’s wrong?’: The silence of Pakistanis on expulsion of Afghan refugees,AJEnglish,34,87,144,23K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727209118757175476,Israeli strike kills three journalists near Lebanon border,AJEnglish,43,171,221,26K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727205471436587462,Indian workers trapped in Himalayan tunnel for 10 days seen on camera,AJEnglish,28,48,149,26K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727201559069569364,"Reactions to Israel, Hamas ceasefire deal",AJEnglish,31,42,95,28K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727225120895209527,Brazil 1-0 Argentina: Lionel Messi after trouble in stands,BBCWorld,84,14,60,41K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727223289372655865,Alexander Kielland 1980 disaster families hope for fresh inquiry,BBCWorld,50,11,56,43K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727212677804556379,"Sam Altman to return as OpenAI CEO, company says, following his chaotic dismissal from the firm behind ChatGPT",BBCWorld,63,66,173,90K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727212059312402679,Sam Altman to return as OpenAI CEO,BBCWorld,79,103,225,115K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727206218593149165,Omegle: ‘How I got the dangerous chat site closed down’,BBCWorld,65,17,86,82K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727201518426767776,Who is the new boss of Binance?,BBCWorld,76,17,77,82K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727156966374486159,Rise in Google searches around ‘climate anxiety’,BBCWorld,119,43,127,135K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
