@relation 'all news tweets'

@attribute Content string
@attribute Time {11/20/2023,11/22/2023,11/19/2023,11/17/2023,11/21/2023,10/29/2023,11/18/2023,11/14/2023,10/12/2023,11/6/2023,11/1/2023,10/10/2023,10/31/2023,10/15/2023,10/16/2023,10/27/2023,10/17/2023,10/30/2023,10/11/2023,11/12/2023,10/14/2023,11/10/2023,11/15/2023,11/3/2023,11/9/2023,11/16/2023,10/13/2023,11/13/2023,10/24/2023,11/5/2023,11/8/2023,11/23/2023,10/19/2023,10/9/2023,10/26/2023,10/18/2023,10/23/2023,11/7/2023,11/4/2023,11/11/2023,10/21/2023,10/28/2023,11/2/2023,10/25/2023,10/22/2023,10/8/2023,10/20/2023}
@attribute Review numeric
@attribute RetweetNumber numeric
@attribute Like_Numbers numeric
@attribute Look_Numbers numeric
@attribute UserName {Palestine,Israel,SkyNews,IDF,BBCWorld,CNN,RT_com,CBNNews,Telegraph,FoxNews,Independent}
@attribute UserName_For_Label {Palestine,Israel}

@data
'- Father:  Tell me she s breathing. - Doctor:  Say Alhamdulillah (praise be to Allah). A bereaved father in #Gaza breaks down after being informed his little daughter has died of her wounds sustained from Israeli bombardment.',11/20/2023,44,1100,1400,4400,Palestine,Palestine
' #Gaza was not a nice place to live before the war and it will not be a nicer place after the war. Israeli politician and former diplomat Danny Danon justifying ethnic cleansing and mass expulsion on BBC.',11/20/2023,77,321,345,3300,Palestine,Palestine
' ... Baraa! Moataz! Taysir! Aya! A bereaved mother calls her children who are missing under the rubble of a house that was bombed by Israeli warplanes in #Gaza last night.',11/22/2023,29,1200,1400,5000,Palestine,Palestine
' [Aid workers] should be providing relief services  but they re running for their lives. Dhananjayan Sriskandarajah  Oxfam GB CEO  on what his Oxfam colleagues are experiencing in Gaza',11/19/2023,77,503,737,10100,Palestine,Palestine
' [Israel s] assertions were aimed at shifting attention from its  irreparable defeat  in the war in Gaza. Iran denies involvement in ship seizure by Yemen s Houthi rebels. LIVE updates: http://aje.io/0jjdr',11/20/2023,24,53,156,3700,Palestine,Palestine
' 06:30   a documentary project filmed in Tel Aviv last week  will recreate the horrors of the Hamas massacre in southern Israel on October 7 through miniature sets and the testimonies of 10 survivors',11/22/2023,41,3,16,9700,Israel,Israel
' By showing unconditional and unquestioning support for the Israeli government and its war on Gaza  the Philippines has placed itself firmly on the wrong side of history and ended up working against its own interests. ? #AJOpinion by Susan Reyes Kurdli.',11/17/2023,74,191,411,5900,Palestine,Palestine
' Can you take us back to when you last saw your lovely little girl?  - @KayBurleyThomas Hand s daughter Emily was kidnapped by Hamas. Hear his story  https://trib.al/Rx0iR33 Sky 501  Virgin 602  Freeview 233 and YouTube',11/21/2023,35,20,32,3600,SkyNews,?
' Dad  they re shooting at me  I m dying . This is the last phone call  Ilan Regev received from his daughter Maya  at 8:58AM on October 7th. Maya and Itai Regev were kidnaped from the Nova music festival and are being held hostage in Gaza. Help us bring them home.',10/29/2023,1900,5900,1200,37600,IDF,?
' Every day in the hospital  I shed tears for the children growing up amidst this chaos. Life in Gaza has always been challenging  but we endeavoured to live  dream  and thrive. Even hoping now feels like a luxury',11/18/2023,43,413,686,5700,Palestine,Palestine
