@relation 'hashtags trimmed both-weka.filters.unsupervised.attribute.Remove-R2-7-weka.filters.unsupervised.attribute.Remove-R2-4'

@attribute Tweet_Content string
@attribute Targe_Pro {Israel,Palestine}

@data
'3 & 4 year old kindergarten children in Gaza-ISIS, taught to HATE & sacrifice themselves for JIHADNext year, those who excel - graduate to Rape Course',Israel
'Lots of Muslims who you think are Muslims, arent really Muslim - theyre all the good people who are also trapped into the CULTure of Islam that has NO EXIT DOOR. Stand with #ExMuslims #StandWithIsrael',Israel
'For fools who think You can support Palestine without supporting Hamas - Senior Adviser to Palestinian Authority President Mahmoud Abbas:Well not say a single word against Hamas - theyre part of the Palestinian peopleNO CEASE FIRE FOR RAPISTS!',Israel
'Americans, ask yourselves - better yet, ask your government - what thisinciting Hamas-Rapists supporter still doing in your countryListen to him, in NYC, claiming that Abraham, Moses & Jesus were Muslims...Stop them now - or youll soon be Muslims too!',Israel
'This is what the pro-Palestinian marchers are supporting. The #HamasTerrorists were involved in lots of similar killings (& many worse atrocities).Hamas must be wiped off the face of the earth; to call for a ceasefire is to back these monstrous murderers!#IStandWithIsreal',Israel
'There are an awful lot of women on the #HamasTerrorists support marches.They are often very vociferous, abusive & threatening; I believe its because they can do this in free Britain.The sick joke; this is how theyll end up when their free Britain is overtaken by islamists!',Israel
'Whats left of Kibutz Beeri after the #October7massacre #NeverAgainIsNow #StandWithIsrael',Israel
'He is back with donkey #ImACelebrity #Israel #HamasisISIS #IsraelPalestineWar #Gaza #Palestine #HamasTerrorists',Israel
'If you had any doubt pro-Palestinians were utter vermin look at this photo. #StandwithIsrael',Israel
'Way beyond time for @TerrorismPolice to start investigating these #HamasTerrorists affiliated UK organisations #FreeUKFromHamas #FreeGazaFromHamas #BringThemBackHomeNow',Israel
'I dont think he is mentally stable enough to run argentine#Argentina #EleccionesArgentina2023 #BBMAs #ImACelebrity #OPPOFindN3 #AlShifaHospital #IsraeliTerrorists #HamasISIS',Israel
'Right now in the Dutch election the anti-EU  conservative who vowed to stop immigration and close the borders is ahead.  #HamasTerrorists',Israel
'Yet we hear all these female Hamasniks here in the West calling them resistance and freedom fighters.They are rapist terrorist scum. Full stop.#HamasTerrorists #HamasISIS #Hamasniks',Israel
'Just another day in Occupied London:Hamas-Rapists supporters harass an elderly British couple & Met Police, as always, helplessBut hey - whats this couple of infidels doing in the UK Caliphate anyway?',Israel
'There are Yemen people (civilians), who hear the news that the ship has stopped, and are doing prostration of thanksgiving. I hope that if something happens to Yemen later, you will not forget these scenes#StandWithIsrael',Israel
'The government of Tanzania announced that Clemence, a 22-year-old student who was kidnapped to Gaza on October 7, was murdered in captivity. His body was returned to Israel and flown to Tanzania. Rest in peace, Clemence #Hamas#HamasISIS',Israel
'You are not doing enough for the children hostages kidnapped and held by the jihadist #Palestinian terror org #HamasISIS. You can help if you care. Why wont you meet with the parents (those who are alive)? Why arent you trying to save and protect those children? #BringThemHome',Israel
'Hundreds of thousands in D.C. to support Israel.Americans March for Israel#BringThemHome #StandWithIsrael',Israel
'Where all the Aid Money goes.#australia under #Labor increased it from $35M to $70M#StandWithIsrael',Israel
'Hear it from former Canadian prime minister @stephenharper why you should support Israel and not Hamas.#StandWithIsrael',Israel
'Poor #HamasTerrorists  ALL THEY ARE ASKING FOR IS A CEASEFIRE SO THEY CAN RE-ARM..IS IT TOO MUCH TO ASK?!',Israel
'An Al-Jazeera network reporter interviews a Gaza man at the Shifa Hospital, who reveals that Hamas members are hiding in the hospital:Why are they hiding here among the people?He replied: They should go and hide in hell#HamasISIS #HamasTerrorrists',Israel
'How do shooting innocents who are defending themselves release Palestine? Hamas committed war crimes, he massacred, murdered and beheaded innocent civilians in ISIS style, kidnapped babies, and raped women. #HamasISIS is ISIS. We will win, God is with us.#HamasTerrorrists #Gaza',Israel
'Hypocrite antisemite @antonioguterres - you do remember your @UN is supposed to deal sometimes with other parts of the globe except Israel, dont you?Got something to say, for example, to these Afghan refugeesHalf a Million of whom got deported from Pakistan last two months?',Israel
'Pro-Israel  rally in the US.America  stands with Israel #StandWithIsrael #Gaza',Israel
'Could we hope the fighting may end soon?#HamasTerrorists #HamasMassacre #Gaza #FreeGazaFromHamas',Israel
'How can @dagbladet publish such an article?The standard of journalism displayed here is unbelievably low.#StandWithIsrael',Israel
'Will you help us bring back our kids which are kept as hostages by ISIS-HAMAS? #HamasISIS #HamasisIsis#FreeGazaFromHamas #TheRealImage',Israel
'They went to dance... Instead they had to run for their lives while under rifle fire..#HamasTerrorists #Nova #Israel #October7 #FUHamas #NeverAgainIsNow #TheWestIsNext #LongLiveIsrael',Israel
'The terrorist monster who paraded the body of Shani Louk while screaming allahu akbar has met his end today. #Israel #Gaza #Hamas #terrorists #GazaTerrorists #HamasTerrorists #October7massacre',Israel
'Looks like the #USA might be preparing legal ground for a cleanup of undesirables alongside deportation .Heres hoping the @HMOIndia keeps watch over any deportees here lest they have extra national allegiances to #HamasTerrorists & similar groups.',Israel
'Arch-Rapist Ihya Sinwar - Head of Hamas-Gaza - was treated for his brain-cancer in Israel & Israeli doctors saved his lifeIn return for this favor - he sends his beast-Rapists to raid Israeli towns...NO CEASE FIRE TILL LAST RAPIST DEAD!',Israel
'IDF hoisting a flag close to Al-Shifa Hospital #AlShifaHospital #Israel #HamasISIS',Israel
'How to handle the problem.You can not bite the hand that feeds you.#StandWithIsrael.',Israel
'Always nice to have an evening with @benshapiro & @RabbiGoldberg in a packed house at @BRSynagogue #BRS #BocaLeadsTheWay #Israel #StandWithIsrael #FightAntisemitism',Israel
'Just want to put this out there... I am so proud to be Jewish and although part of the diaspora, Israel is completely in my heart and soul.#Israel#BringThemHome#HamasTerrorists',Israel
'How can you support Hamas, a terrorist organization that not only is PROUD of their heinous actions, but FILMED them all?!Its very simple - you either stand with humanity or terrorism.#HamasisISIS #HamasTerrorists',Israel
'Stop talking about Israel!Never. Im Native, so I support the right of the Jewish/Judean people, the Indigenous people of Israel, to live free in their homeland.I also support the Palestinian rights movement. Not #HamasISIS.',Israel
'#HamasTerrorists raped and abused women, besides murdering them.They recorded some of their atrocities themselves. But the @UN, @UNHumanRights, and other organizations that supposedly focus on women dont cry out which is a disgrace and is #Antisemetism.#StandWithIsrael',Israel
'Dash-cam video of #HamasISIS throwing grenades & firing into a protective cover,where some Israeli Nova party participants found refuge from the terrorists.A brave soldier, Aner Shapira,was there too & was able to  throw out *7* grenades.The 8th grenade killed him.A true hero.',Israel
'Anne Frank was a Dutch-Jewish girl, murdered when she was 16 years old by the original Nazis in 1945Yesterday, her mural in Italy was desecrated by new Nazis with Gaza Free graffitiDont worry - IDF on its way to free Gaza from Nazi-RapistsNO CEASE FIRE FOR NAZIS!',Israel
'Burning Israel  flag in a protest:F*ck around and find out #Isreal #IsraelGazaWar #IsraelAttack#IsraeliNewNazism #HamasISIS#HamasTerrorists #HamasisISIS#Hamas #Gaza #Gaza_Genocide',Israel
'The #IDF found the vehicle that Shani Louk was paraded in through Gaza in at Shifa.#HamasTerrorists #ShifaHospital',Israel
